article_id,author1,year,title,source_type,db_tier,reco_folder,reco_filename,reco_folder,reco_filename
ART-0002,AAP,2015,578-580,AFP,local_lite,RECO_local_lite,AAP_management_2015#@#ART-0002@#@.pdf,RECO_local_lite,AAP_management_2015#@#ART-0002@#@.pdf
ART-0018,Achar,2019,Apophysitis and osteochondrosis: Common causes of pain in growing bones,AFP,right_click,RECO_right_click,Achar_Yamanaka_2019#@#ART-0018@#@.pdf,RECO_right_click,Achar_Yamanaka_2019#@#ART-0018@#@.pdf
ART-0029,Al,2021,a systematic review and quality assessment study,Guideline/Org,local_lite,RECO_local_lite,Al_Fisher_2021#@#ART-0029@#@.pdf,RECO_local_lite,Al_Fisher_2021#@#ART-0029@#@.pdf
ART-0033,Albert,2017,End-of-life care: Managing common symptoms,AFP,local_lite,RECO_local_lite,Albert_2017#@#ART-0033@#@.pdf,RECO_local_lite,Albert_2017#@#ART-0033@#@.pdf
ART-0036,Ali,2018,a primer for family physicians,AFP,local_lite,RECO_local_lite,Ali_2018#@#ART-0036@#@.pdf,RECO_local_lite,Ali_2018#@#ART-0036@#@.pdf
ART-0040,Allison,2021,Frailty: Evaluation and management,AFP,local_lite,RECO_local_lite,Allison_Assadzandi_2021#@#ART-0040@#@.pdf,RECO_local_lite,Allison_Assadzandi_2021#@#ART-0040@#@.pdf
ART-0052,American,2004,Management of hyperbilirubinemia in the newborn infant 35 or more weeks of gesta,Pediatrics,right_click,RECO_right_click,American_2004#@#ART-0052@#@.pdf,RECO_right_click,American_2004#@#ART-0052@#@.pdf
ART-0072,American,2013,123–154,Textbook,local_lite,RECO_local_lite,American_2013#@#ART-0072@#@.pdf,RECO_local_lite,American_2013#@#ART-0072@#@.pdf
ART-0078,American,2018,The American Psychiatric Association Practice Guideline for the Pharmacological ,Guideline/Org,local_lite,RECO_local_lite,American_2018#@#ART-0078@#@.pdf,RECO_local_lite,American_2018#@#ART-0078@#@.pdf
ART-0090,Armstrong,2019,Influenza vaccination: Updated recommendations from ACIP,AFP,local_lite,RECO_local_lite,Armstrong_2019#@#ART-0090@#@.pdf,RECO_local_lite,Armstrong_2019#@#ART-0090@#@.pdf
ART-0092,Arnett,2019,2019 ACC/AHA guideline on the primary prevention of cardiovascular disease: A re,Circulation,local_lite,RECO_local_lite,Arnett_Blumenthal_2019#@#ART-0092@#@.pdf,RECO_local_lite,Arnett_Blumenthal_2019#@#ART-0092@#@.pdf
ART-0095,Arnold,2018,Common running injuries: Evaluation and management,AFP,local_lite,RECO_local_lite,Arnold_Moody_2018#@#ART-0095@#@.pdf,RECO_local_lite,Arnold_Moody_2018#@#ART-0095@#@.pdf
ART-0097,Aspirin,2022,online,AFP,local_lite,RECO_local_lite,Aspirin_2022#@#ART-0097@#@.pdf,RECO_local_lite,Aspirin_2022#@#ART-0097@#@.pdf
ART-0124,Barr,2014,Acute diarrhea in adults,AFP,local_lite,RECO_local_lite,Barr_Smith_2014#@#ART-0124@#@.pdf,RECO_local_lite,Barr_Smith_2014#@#ART-0124@#@.pdf
ART-0126,Barstow,2018,Evaluating medical decision-making capacity in practice,AFP,right_click,RECO_right_click,Barstow_Shahan_2018#@#ART-0126@#@.pdf,RECO_right_click,Barstow_Shahan_2018#@#ART-0126@#@.pdf
ART-0150,Bhattacharya,2023,"AASLD-IDSA recommendations for testing, managing, and treating hepatitis C virus",Guideline/Org,local_lite,RECO_local_lite,Bhattacharya_Aronsohn_2023#@#ART-0150@#@.pdf,RECO_local_lite,Bhattacharya_Aronsohn_2023#@#ART-0150@#@.pdf
ART-0163,Bowlus,2023,659-702,Other Journal,local_lite,RECO_local_lite,Bowlus_Arriv_2023#@#ART-0163@#@.pdf,RECO_local_lite,Bowlus_Arriv_2023#@#ART-0163@#@.pdf
ART-0166,Bradley,2011,the management of community acquired pneumonia in infants and children older tha,Guideline/Org,right_click,RECO_right_click,Bradley_Byington_2011#@#ART-0166@#@.pdf,RECO_right_click,Bradley_Byington_2011#@#ART-0166@#@.pdf
ART-0169,Braun,2018,Stable coronary artery disease: Treatment,AFP,local_lite,RECO_local_lite,Braun_Stevens_2018#@#ART-0169@#@.pdf,RECO_local_lite,Braun_Stevens_2018#@#ART-0169@#@.pdf
ART-0187,Buelt,2023,guidelines from the VA/DoD,AFP,local_lite,RECO_local_lite,Buelt_McCall_2023#@#ART-0187@#@.pdf,RECO_local_lite,Buelt_McCall_2023#@#ART-0187@#@.pdf
ART-0190,Bunt,2018,Knee pain in adults and adolescents: The initial evaluation,AFP,local_lite,RECO_local_lite,Bunt_Jonas_2018#@#ART-0190@#@.pdf,RECO_local_lite,Bunt_Jonas_2018#@#ART-0190@#@.pdf
ART-0193,Burgers,2020,Chronic diarrhea in adults: Evaluation and differential diagnosis,AFP,local_lite,RECO_local_lite,Burgers_Lindberg_2020#@#ART-0193@#@.pdf,RECO_local_lite,Burgers_Lindberg_2020#@#ART-0193@#@.pdf
