QuestionID,ExamYear,BodySystem,Subcategory,ArchetypeName,Cluster,UMAP_X,UMAP_Y
Q2020-001,2020,Cardiovascular,Pharmacology,Acute / Emergent Presentation,10,7.3034635,-3.2930133
Q2020-002,2020,Respiratory,Prevention,General Adult Medicine -- Undifferentiated,8,7.7543755,0.9066373
Q2020-003,2020,Gastrointestinal,Pharmacology,Pharmacology & Drug Selection,6,8.272222,-1.1944973
Q2020-004,2020,Endocrine,Treatment,Pharmacology & Drug Selection,6,4.9234467,-0.3000599
Q2020-005,2020,Gastrointestinal,Workup,Screening & Prevention Guidelines,7,9.61521,-0.4016739
Q2020-006,2020,Gastrointestinal,Prognosis/Risk,General Adult Medicine -- Undifferentiated,8,3.0703497,2.1277745
Q2020-007,2020,Nonspecific,Diagnosis,Chronic Disease Management,0,7.4127584,-2.4173322
Q2020-008,2020,Psychogenic,Management,Pharmacology & Drug Selection,6,5.516192,-0.024585249
Q2020-009,2020,Cardiovascular,Treatment,General Adult Medicine -- Undifferentiated,4,4.570649,-3.006549
Q2020-010,2020,Respiratory,Management,General Adult Medicine -- Undifferentiated,4,4.7433805,-3.3454518
Q2020-011,2020,Integumentary,Management,Pharmacology & Drug Selection,6,6.324759,-3.6446571
Q2020-012,2020,Reproductive: Female,Pharmacology,Pharmacology & Drug Selection,6,8.255226,-1.3237903
Q2020-013,2020,Cardiovascular,Pharmacology,Pharmacology & Drug Selection,6,6.4887342,-3.0494604
Q2020-014,2020,Population-Based Care,Screening,Screening & Prevention Guidelines,9,10.6452,-0.6825911
Q2020-015,2020,Respiratory,Pharmacology,Pharmacology & Drug Selection,6,7.1252017,-2.4134378
Q2020-016,2020,Cardiovascular,Interpretation,Pharmacology & Drug Selection,6,6.4548154,-4.6311855
Q2020-017,2020,Musculoskeletal,Workup,Acute / Emergent Presentation,5,2.679224,-0.3094399
Q2020-018,2020,Integumentary,Management,Acute / Emergent Presentation,5,3.9475129,0.2564645
Q2020-019,2020,Nonspecific,Pharmacology,Pharmacology & Drug Selection,6,8.602138,-1.5330658
Q2020-020,2020,Respiratory,Diagnosis,General Adult Medicine -- Undifferentiated,4,4.1602826,-3.4396772
Q2020-021,2020,Gastrointestinal,Diagnosis,General Adult Medicine -- Undifferentiated,4,4.9460745,-2.7618785
Q2020-022,2020,Nonspecific,Treatment,General Adult Medicine -- Undifferentiated,8,4.1096244,-0.6734443
Q2020-023,2020,Endocrine,Management,Pharmacology & Drug Selection,6,5.9006324,-1.3882165
Q2020-024,2020,Patient-Based Systems,Pharmacology,Pharmacology & Drug Selection,6,7.1413608,0.8895593
Q2020-025,2020,Endocrine,Workup,Pharmacology & Drug Selection,6,5.8162427,-0.5494085
Q2020-026,2020,Respiratory,Pharmacology,Pharmacology & Drug Selection,6,3.7677166,-3.8800178
Q2020-027,2020,Musculoskeletal,Prognosis/Risk,Pharmacology & Drug Selection,6,6.7021103,0.57522714
Q2020-028,2020,Special Sensory,Treatment,Pharmacology & Drug Selection,6,7.169889,1.0119815
Q2020-029,2020,Integumentary,Treatment,Acute / Emergent Presentation,5,3.3067896,1.1120207
Q2020-030,2020,Nephrologic,Workup,General Adult Medicine -- Undifferentiated,8,8.534605,1.2533857
Q2020-031,2020,Population-Based Care,Prevention,Pediatric Care & Development,3,7.896858,1.2147646
Q2020-032,2020,Respiratory,Screening,Chronic Disease Management,0,8.976046,-0.037872493
