QuestionID,UMAP_X,UMAP_Y,Cluster,ArchetypeName
Q2020-001,7.3034635,-3.2930133,10,Acute / Emergent Presentation
Q2020-002,7.7543755,0.9066373,8,General Adult Medicine -- Undifferentiated
Q2020-003,8.272222,-1.1944973,6,Pharmacology & Drug Selection
Q2020-004,4.9234467,-0.3000599,6,Pharmacology & Drug Selection
Q2020-005,9.61521,-0.4016739,7,Screening & Prevention Guidelines
Q2020-006,3.0703497,2.1277745,8,General Adult Medicine -- Undifferentiated
Q2020-007,7.4127584,-2.4173322,0,Chronic Disease Management
Q2020-008,5.516192,-0.024585249,6,Pharmacology & Drug Selection
Q2020-009,4.570649,-3.006549,4,General Adult Medicine -- Undifferentiated
Q2020-010,4.7433805,-3.3454518,4,General Adult Medicine -- Undifferentiated
Q2020-011,6.324759,-3.6446571,6,Pharmacology & Drug Selection
Q2020-012,8.255226,-1.3237903,6,Pharmacology & Drug Selection
Q2020-013,6.4887342,-3.0494604,6,Pharmacology & Drug Selection
Q2020-014,10.6452,-0.6825911,9,Screening & Prevention Guidelines
Q2020-015,7.1252017,-2.4134378,6,Pharmacology & Drug Selection
Q2020-016,6.4548154,-4.6311855,6,Pharmacology & Drug Selection
Q2020-017,2.679224,-0.3094399,5,Acute / Emergent Presentation
Q2020-018,3.9475129,0.2564645,5,Acute / Emergent Presentation
Q2020-019,8.602138,-1.5330658,6,Pharmacology & Drug Selection
Q2020-020,4.1602826,-3.4396772,4,General Adult Medicine -- Undifferentiated
Q2020-021,4.9460745,-2.7618785,4,General Adult Medicine -- Undifferentiated
Q2020-022,4.1096244,-0.6734443,8,General Adult Medicine -- Undifferentiated
Q2020-023,5.9006324,-1.3882165,6,Pharmacology & Drug Selection
Q2020-024,7.1413608,0.8895593,6,Pharmacology & Drug Selection
Q2020-025,5.8162427,-0.5494085,6,Pharmacology & Drug Selection
Q2020-026,3.7677166,-3.8800178,6,Pharmacology & Drug Selection
Q2020-027,6.7021103,0.57522714,6,Pharmacology & Drug Selection
Q2020-028,7.169889,1.0119815,6,Pharmacology & Drug Selection
Q2020-029,3.3067896,1.1120207,5,Acute / Emergent Presentation
Q2020-030,8.534605,1.2533857,8,General Adult Medicine -- Undifferentiated
Q2020-031,7.896858,1.2147646,3,Pediatric Care & Development
Q2020-032,8.976046,-0.037872493,0,Chronic Disease Management
Q2020-033,3.8802285,1.2726821,5,Acute / Emergent Presentation
Q2020-034,6.360699,-4.0446014,11,Pharmacology & Drug Selection
Q2020-035,6.7510962,-1.5711306,3,Pediatric Care & Development
Q2020-036,3.9615636,-4.5970893,10,Acute / Emergent Presentation
Q2020-037,7.7820263,-0.65663266,6,Pharmacology & Drug Selection
Q2020-038,10.759004,-0.53424025,9,Screening & Prevention Guidelines
Q2020-039,9.331491,0.12744707,7,Screening & Prevention Guidelines
Q2020-040,4.69757,-3.6845448,4,General Adult Medicine -- Undifferentiated
Q2020-041,7.1975713,0.9456502,6,Pharmacology & Drug Selection
Q2020-042,7.2342877,-2.219278,1,Pharmacology & Drug Selection
Q2020-043,5.8387713,-1.3589729,8,General Adult Medicine -- Undifferentiated
Q2020-044,4.6096964,-3.6399825,4,General Adult Medicine -- Undifferentiated
Q2020-045,6.973419,-0.5902226,6,Pharmacology & Drug Selection
Q2020-046,4.8642893,-0.7452639,2,Chronic Disease Management
Q2020-047,7.959395,-0.07322738,0,Chronic Disease Management
Q2020-048,9.448334,-3.1853971,6,Pharmacology & Drug Selection
Q2020-049,2.216601,-0.5498599,5,Acute / Emergent Presentation
Q2020-050,4.7429767,-3.481467,4,General Adult Medicine -- Undifferentiated
Q2020-051,7.5755086,-3.5517972,10,Acute / Emergent Presentation
Q2020-052,6.577583,-1.0405695,6,Pharmacology & Drug Selection
Q2020-053,4.5484896,-2.3469644,4,General Adult Medicine -- Undifferentiated
Q2020-054,3.7512815,-4.1218696,6,Pharmacology & Drug Selection
Q2020-055,2.0942612,-2.519077,2,Chronic Disease Management
Q2020-056,8.301332,-0.08337262,0,Chronic Disease Management
Q2020-057,7.628038,0.041363303,0,Chronic Disease Management
Q2020-058,2.372027,1.3397515,5,Acute / Emergent Presentation
Q2020-059,6.2534575,-1.8186814,6,Pharmacology & Drug Selection
Q2020-060,3.8952918,-4.6306543,6,Pharmacology & Drug Selection
Q2020-061,5.3760614,0.41808948,6,Pharmacology & Drug Selection
Q2020-062,5.7262316,1.4609009,8,General Adult Medicine -- Undifferentiated
Q2020-063,9.579106,0.058504067,7,Screening & Prevention Guidelines
Q2020-064,7.086645,-3.8090198,11,Pharmacology & Drug Selection
Q2020-065,9.464147,-3.2086504,6,Pharmacology & Drug Selection
Q2020-066,9.237446,-1.7900465,6,Pharmacology & Drug Selection
Q2020-067,4.1335273,-3.5755525,4,General Adult Medicine -- Undifferentiated
Q2020-068,2.4962928,0.26329762,5,Acute / Emergent Presentation
Q2020-069,9.342179,0.3672698,3,Pediatric Care & Development
Q2020-070,5.145032,-1.764562,5,Acute / Emergent Presentation
Q2020-071,7.3714137,-1.7179255,1,Pharmacology & Drug Selection
Q2020-072,4.509535,-3.641819,4,General Adult Medicine -- Undifferentiated
Q2020-073,4.3611355,-1.403529,10,Acute / Emergent Presentation
Q2020-074,7.2994475,-2.2263675,6,Pharmacology & Drug Selection
Q2020-075,5.5717616,-0.6642061,6,Pharmacology & Drug Selection
Q2020-076,5.9653807,-2.1039717,6,Pharmacology & Drug Selection
Q2020-077,2.240724,0.34156317,5,Acute / Emergent Presentation
Q2020-078,8.329185,1.167041,8,General Adult Medicine -- Undifferentiated
Q2020-079,3.8954132,-4.609055,6,Pharmacology & Drug Selection
Q2020-080,7.617691,-3.556732,10,Acute / Emergent Presentation
Q2020-081,6.553014,-2.4600272,1,Pharmacology & Drug Selection
Q2020-082,6.4746337,-4.523261,2,Chronic Disease Management
Q2020-083,2.1680665,-2.4195008,2,Chronic Disease Management
Q2020-084,5.9585443,-1.5833592,6,Pharmacology & Drug Selection
Q2020-085,9.256928,-0.7968586,0,Chronic Disease Management
Q2020-086,9.473293,-3.2325182,6,Pharmacology & Drug Selection
Q2020-087,8.175092,1.5972512,1,Pharmacology & Drug Selection
Q2020-088,7.7137423,0.28652012,6,Pharmacology & Drug Selection
Q2020-089,6.4402947,-4.6362085,4,General Adult Medicine -- Undifferentiated
Q2020-090,2.067299,-2.5262156,2,Chronic Disease Management
Q2020-091,8.227552,0.48945996,8,General Adult Medicine -- Undifferentiated
Q2020-092,3.1394796,-1.369833,1,Pharmacology & Drug Selection
Q2020-093,6.5831456,-0.39264765,6,Pharmacology & Drug Selection
Q2020-094,6.582233,-1.0870361,6,Pharmacology & Drug Selection
Q2020-095,7.4501343,2.1640892,3,Pediatric Care & Development
Q2020-096,10.318278,-0.78060895,9,Screening & Prevention Guidelines
Q2020-097,8.389397,1.3372842,8,General Adult Medicine -- Undifferentiated
Q2020-098,7.0245237,2.1022294,3,Pediatric Care & Development
Q2020-099,7.5531225,-3.631304,10,Acute / Emergent Presentation
Q2020-100,9.344919,-3.111399,6,Pharmacology & Drug Selection
Q2020-101,7.015259,-3.5641115,11,Pharmacology & Drug Selection
Q2020-102,6.3975244,-2.4130201,1,Pharmacology & Drug Selection
Q2020-103,9.302889,-1.8447797,4,General Adult Medicine -- Undifferentiated
Q2020-104,4.5674095,-3.7002919,4,General Adult Medicine -- Undifferentiated
Q2020-105,2.9864447,0.19735545,5,Acute / Emergent Presentation
Q2020-106,5.146098,1.6258307,8,General Adult Medicine -- Undifferentiated
Q2020-107,6.093235,-0.52155787,6,Pharmacology & Drug Selection
Q2020-108,5.258903,1.8381963,6,Pharmacology & Drug Selection
Q2020-109,8.3686695,0.5116781,8,General Adult Medicine -- Undifferentiated
Q2020-110,2.8752449,2.0782347,6,Pharmacology & Drug Selection
