Category,Cluster,Keywords,Total_Qs,Trend_slope
Endocrine,Endocrine_C2,"diabetes, endocrine, year, mg, level",72,0.29
Cardiovascular,Cardiovascular_C3,"cardiovascular, old male, male, following, year",61,0.14
Psychogenic,Psychogenic_C3,"therapy, patient, following, year, year old",51,0.6
Gastrointestinal,Gastrointestinal_C2,"liver, disease, gastrointestinal, liver disease, following",47,-0.89
Musculoskeletal,Musculoskeletal_C4,"patient, year, old, year old, musculoskeletal",47,0.66
Musculoskeletal,Musculoskeletal_C2,"pain, finger, right, presents, arm",47,0.2
Population-Based Care,Population-Based Care_C1,"risk, based, care, population, based care",40,0.11
Gastrointestinal,Gastrointestinal_C3,"year, following, year old, old, abdominal",40,1.09
Integumentary,Integumentary_C3,"topical, oral, treatment, appropriate, year",38,-0.86
Hematologic/Immune,Hematologic/Immune_C4,"following, immune, hematologic, hematologic immune, year",36,-0.23
Respiratory,Respiratory_C5,"chest, history, respiratory, normal, signs",34,-0.34
Integumentary,Integumentary_C2,"rash, year, year old, old, integumentary",32,-0.17
Population-Based Care,Population-Based Care_C4,"old, year, child, year old, office",32,0.4
Respiratory,Respiratory_C2,"respiratory, inhaled, sleep, influenza, following",31,0.14
Cardiovascular,Cardiovascular_C5,"mg, daily, mg daily, current, medications",30,-0.23
Reproductive:Female,Reproductive:Female_C3,"female, normal, blood, pressure, blood pressure",29,0.03
Cardiovascular,Cardiovascular_C2,"mm, mm hg, hg, blood, pressure",26,-0.0
Respiratory,Respiratory_C1,"fev, smoking, fvc, pack, ratio",25,-1.23
Respiratory,Respiratory_C3,"rate, min, oxygen, air, beats",24,-0.86
Reproductive:Female,Reproductive:Female_C4,"mg, daily, female, patient, age",24,0.4
Musculoskeletal,Musculoskeletal_C3,"knee, pain, knee pain, tenderness, medial",23,-0.49
Population-Based Care,Population-Based Care_C5,"vaccine, vaccination, care, based, influenza",23,-0.54
Cardiovascular,Cardiovascular_C4,"history, past, episode, months, physical examination",22,0.17
Hematologic/Immune,Hematologic/Immune_C3,"level, dl, mg, laboratory, serum",21,-0.03
Psychogenic,Psychogenic_C2,"disorder, parent, bipolar, patient, loss",21,-0.0
Population-Based Care,Population-Based Care_C2,"cancer, cervical, screening, cervical cancer, lung",20,0.4
Respiratory,Respiratory_C4,"presents, fever, intranasal, treatment, influenza",18,-0.06
Neurologic,Neurologic_C1,"head, ct, neurologic, brain, following",18,0.57
Musculoskeletal,Musculoskeletal_C1,"mg, medications, daily, following medications, acetaminophen",18,-0.69
Hematologic/Immune,Hematologic/Immune_C2,"thrombocytopenia, old, year, year old, immune",17,0.58
Nephrologic,Nephrologic_C2,"disease, kidney disease, kidney, chronic kidney, chronic",17,-0.2
Musculoskeletal,Musculoskeletal_C6,"foot, ankle, plantar, right foot, heel",16,-0.23
Nephrologic,Nephrologic_C3,"urinalysis, examination, year, stone, urine",15,0.43
Endocrine,Endocrine_C3,"thyroid, tsh, tsh level, level, free",14,-0.29
Patient-Based Systems,Patient-Based Systems_C1,"patient, decision, based, following, surgery",14,0.15
Musculoskeletal,Musculoskeletal_C5,"shoulder, capsulitis, adhesive capsulitis, adhesive, shoulder pain",14,0.29
Reproductive:Female,Reproductive:Female_C2,"ultrasonography, pelvic, female, history, day",14,0.43
Reproductive:Female,Reproductive:Female_C1,"levonorgestrel, oral, iud, female, estradiol",13,0.54
Cardiovascular,Cardiovascular_C1,"risk, cardiovascular disease, adults, age, screening",13,0.3
Patient-Based Systems,Patient-Based Systems_C2,"patient, months, daughter, using, based systems",12,-0.45
Neurologic,Neurologic_C3,"weakness, syndrome, nerve, hand, fingers",12,0.06
Psychogenic,Psychogenic_C4,"sertraline, sertraline zoloft, zoloft, treatment, venlafaxine",11,0.54
Neurologic,Neurologic_C2,"visual, tinnitus, hearing, auditory, therapy",11,0.09
Population-Based Care,Population-Based Care_C3,"breast, mammography, breast cancer, history breast, years",9,-0.03
Psychogenic,Psychogenic_C1,"hyperactivity, adhd, attention, deficit hyperactivity, hyperactivity disorder",7,-0.14
Cardiovascular,Cardiovascular_C6,"fibrillation, atrial fibrillation, atrial, oral, warfarin",7,-0.03
Endocrine,Endocrine_C4,"actos, pioglitazone, pioglitazone actos, diabetes, farxiga",6,-0.01
Endocrine,Endocrine_C1,"bmi, m2, kg m2, kg, medication",5,0.05
Reproductive:Male,Reproductive:Male_C2,"male, examination, history, ultrasonography, screening",4,-0.07
Special Sensory,Special Sensory_C2,"therapy, special sensory, special, sensory, yearly",4,0.0
Nephrologic,Nephrologic_C1,"tremor, appropriate, following appropriate, appropriate step, step",4,0.0
Special Sensory,Special Sensory_C1,"vision, loss, year, old, year old",3,0.0
Gastrointestinal,Gastrointestinal_C4,"left lower, lower quadrant, left, colonoscopy, lower",2,0.0
Hematologic/Immune,Hematologic/Immune_C1,"eye, brain lesion, central brain, normal extraocular, extraocular movements",2,0.0
Gastrointestinal,Gastrointestinal_C1,"breast, cancer, vaccine, prostate, received",2,0.0
Integumentary,Integumentary_C1,"infusion, having, morning, patient, immediately infusion",1,0.0
Reproductive:Male,Reproductive:Male_C1,"dose, intramuscularly, mg, dose ceftriaxone, intramuscularly plus",1,0.0
