Year,QuestionNum,BodySystem
2022,136,Special Sensory
2022,33,Musculoskeletal
2022,109,Musculoskeletal
2022,170,Endocrine
2022,134,Respiratory
2022,150,Cardiovascular
2022,3,Gastrointestinal
2022,45,Neurologic
2022,51,Musculoskeletal
2022,149,Gastrointestinal
2022,56,Endocrine
2022,60,Respiratory
2022,189,Cardiovascular
2022,67,Musculoskeletal
2022,82,Musculoskeletal
2022,171,Musculoskeletal
2022,20,Neurologic
2022,108,Respiratory
2022,30,Cardiovascular
2022,75,Musculoskeletal
2022,95,Special Sensory
2022,24,Integumentary
2022,49,Respiratory
2022,160,Respiratory
2022,180,Respiratory
2022,140,Cardiovascular
2022,199,Cardiovascular
2022,164,Musculoskeletal
2022,98,Endocrine
2022,162,Integumentary
2022,70,Respiratory
2022,124,Respiratory
2022,168,Respiratory
2022,131,Musculoskeletal
2022,154,Musculoskeletal
2022,16,Gastrointestinal
2022,120,Gastrointestinal
2022,165,Gastrointestinal
2022,65,Endocrine
2022,50,Integumentary
2022,66,Respiratory
2022,93,Respiratory
2022,148,Respiratory
2022,173,Respiratory
2022,123,Cardiovascular
2022,193,Gastrointestinal
2022,182,Endocrine
2022,155,Respiratory
2022,69,Cardiovascular
2022,197,Musculoskeletal
2022,28,Endocrine
2022,130,Endocrine
2022,141,Respiratory
2022,42,Musculoskeletal
2022,102,Musculoskeletal
2022,187,Musculoskeletal
2022,79,Integumentary
2022,169,Integumentary
2022,186,Integumentary
2022,200,Respiratory
2022,188,Respiratory
2022,23,Cardiovascular
2022,48,Cardiovascular
2022,15,Musculoskeletal
2022,90,Musculoskeletal
2022,46,Gastrointestinal
2022,86,Gastrointestinal
2022,179,Gastrointestinal
2022,145,Endocrine
2022,195,Endocrine
2022,184,Neurologic
2022,76,Respiratory
2022,27,Musculoskeletal
2022,116,Musculoskeletal
2022,177,Musculoskeletal
2022,38,Special Sensory
2022,190,Special Sensory
2022,143,Neurologic
2022,100,Respiratory
2022,41,Respiratory
2022,84,Respiratory
2022,5,Musculoskeletal
2022,122,Musculoskeletal
2022,104,Gastrointestinal
2022,114,Endocrine
2022,139,Endocrine
2022,25,Respiratory
2022,85,Cardiovascular
2022,172,Cardiovascular
2022,181,Cardiovascular
2022,2,Respiratory
2022,14,Respiratory
2022,32,Respiratory
2022,101,Respiratory
2022,1,Cardiovascular
2022,13,Cardiovascular
2022,39,Cardiovascular
2022,61,Cardiovascular
2022,58,Musculoskeletal
2022,142,Musculoskeletal
2022,147,Musculoskeletal
2022,26,Gastrointestinal
2022,31,Gastrointestinal
2022,135,Gastrointestinal
2022,6,Endocrine
2022,17,Endocrine
2022,43,Endocrine
2022,81,Endocrine
2022,10,Integumentary
2022,36,Integumentary
2022,68,Integumentary
2022,111,Integumentary
2022,78,Neurologic
2022,113,Neurologic
2022,117,Respiratory
2022,91,Cardiovascular
2022,107,Cardiovascular
2022,119,Cardiovascular
2022,132,Cardiovascular
2022,137,Integumentary
2022,156,Cardiovascular
2022,194,Hematologic/Immune
2022,106,Hematologic/Immune
2022,115,Patient-Based Systems
2022,185,Nephrologic
2022,128,Hematologic/Immune
2022,19,Population-Based Care
2022,73,Population-Based Care
2022,40,Psychogenic
2022,151,Hematologic/Immune
2022,12,Reproductive:Female
2022,54,Reproductive:Female
2022,167,Population-Based Care
2022,159,Psychogenic
2022,183,Psychogenic
