QuestionID,ExamYear,BodySystem,BodySystem_Source,BodySystem_Confidence
Q2020-001,2020,Cardiovascular,Predicted,1.128
Q2020-002,2020,Respiratory,Predicted,1.084
Q2020-003,2020,Gastrointestinal,Predicted,1.075
Q2020-004,2020,Endocrine,Predicted,1.072
Q2020-005,2020,Gastrointestinal,Predicted,1.06
Q2020-006,2020,Gastrointestinal,Predicted,1.021
Q2020-007,2020,Nonspecific,Predicted,1.153
Q2020-008,2020,Psychogenic,Predicted,1.075
Q2020-009,2020,Cardiovascular,Predicted,1.034
Q2020-010,2020,Respiratory,Predicted,1.047
Q2020-011,2020,Integumentary,Predicted,1.067
Q2020-012,2020,Reproductive: Female,Predicted,1.125
Q2020-013,2020,Cardiovascular,Predicted,1.097
Q2020-014,2020,Population-Based Care,Predicted,1.197
Q2020-015,2020,Respiratory,Predicted,1.108
Q2020-016,2020,Cardiovascular,Predicted,1.097
Q2020-017,2020,Musculoskeletal,Predicted,1.107
Q2020-018,2020,Integumentary,Predicted,1.063
Q2020-019,2020,Nonspecific,Predicted,1.061
Q2020-020,2020,Respiratory,Predicted,1.131
Q2020-021,2020,Gastrointestinal,Predicted,1.144
Q2020-022,2020,Nonspecific,Predicted,1.105
Q2020-023,2020,Endocrine,Predicted,1.018
Q2020-024,2020,Patient-Based Systems,Predicted,1.033
Q2020-025,2020,Endocrine,Predicted,1.046
Q2020-026,2020,Respiratory,Predicted,1.098
Q2020-027,2020,Musculoskeletal,Predicted,1.098
Q2020-028,2020,Special Sensory,Predicted,1.07
Q2020-029,2020,Integumentary,Predicted,1.097
Q2020-030,2020,Nephrologic,Predicted,1.06
Q2020-031,2020,Population-Based Care,Predicted,1.097
Q2020-032,2020,Respiratory,Predicted,1.02
Q2020-033,2020,Integumentary,Predicted,1.092
Q2020-034,2020,Cardiovascular,Predicted,1.154
Q2020-035,2020,Endocrine,Predicted,1.049
Q2020-036,2020,Respiratory,Predicted,1.083
Q2020-037,2020,Gastrointestinal,Predicted,1.039
Q2020-038,2020,Population-Based Care,Predicted,1.112
Q2020-039,2020,Gastrointestinal,Predicted,1.123
Q2020-040,2020,Cardiovascular,Predicted,1.122
Q2020-041,2020,Patient-Based Systems,Predicted,1.107
Q2020-042,2020,Cardiovascular,Predicted,1.116
Q2020-043,2020,Musculoskeletal,Predicted,1.073
Q2020-044,2020,Respiratory,Predicted,1.144
Q2020-045,2020,Patient-Based Systems,Predicted,1.033
Q2020-046,2020,Cardiovascular,Predicted,1.139
Q2020-047,2020,Patient-Based Systems,Predicted,1.063
Q2020-048,2020,Nonspecific,Predicted,1.002
Q2020-049,2020,Musculoskeletal,Predicted,1.102
Q2020-050,2020,Cardiovascular,Predicted,1.197
Q2020-051,2020,Endocrine,Predicted,1.141
Q2020-052,2020,Cardiovascular,Predicted,1.09
Q2020-053,2020,Respiratory,Predicted,1.116
Q2020-054,2020,Respiratory,Predicted,1.08
Q2020-055,2020,Nephrologic,Predicted,1.124
Q2020-056,2020,Patient-Based Systems,Predicted,1.07
Q2020-057,2020,Patient-Based Systems,Predicted,1.043
Q2020-058,2020,Musculoskeletal,Predicted,1.07
Q2020-059,2020,Cardiovascular,Predicted,1.142
Q2020-060,2020,Respiratory,Predicted,1.245
Q2020-061,2020,Psychogenic,Predicted,1.2
Q2020-062,2020,Nonspecific,Predicted,1.069
Q2020-063,2020,Gastrointestinal,Predicted,1.047
Q2020-064,2020,Endocrine,Predicted,1.135
